FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
58.8235294117647,13.564928,4.0,649,17.0,51
58.8235294117647,13.243392,6.0,653,17.0,51
66.66666666666667,13.620223999999999,8.0,652,15.0,54
58.8235294117647,13.332479999999999,5.0,607,17.0,55
58.8235294117647,11.148287999999999,7.0,626,17.0,55
55.55555555555556,11.922431999999999,5.0,686,18.0,56
58.8235294117647,13.982719999999999,5.0,571,17.0,56
58.8235294117647,12.88192,6.0,737,17.0,56
62.5,12.326912,7.0,991,16.0,60
62.5,12.537856,7.0,733,16.0,61
58.8235294117647,12.537856,7.0,1081,17.0,64
55.55555555555556,9.89696,7.0,977,18.0,64
62.5,12.618751999999999,8.0,1076,16.0,65
58.8235294117647,12.227584,7.0,987,17.0,65
62.5,1.9711999999999998,7.0,911,16.0,66
58.8235294117647,0.822272,6.0,624,17.0,67
58.8235294117647,12.599295999999999,8.0,1111,17.0,69
62.5,12.130303999999999,7.0,878,16.0,70
55.55555555555556,11.393023999999999,6.0,790,18.0,72
55.55555555555556,12.248064,8.0,989,18.0,73
62.5,13.085695999999999,7.0,987,16.0,75
58.8235294117647,12.752896,7.0,885,17.0,76
58.8235294117647,11.542527999999999,7.0,953,17.0,76
47.61904761904762,13.469695999999999,8.0,851,21.0,77
62.5,12.383232,9.0,1222,16.0,77
62.5,11.047936,7.0,1111,16.0,79
62.5,2.74432,8.0,1027,16.0,80
62.5,11.487231999999999,9.0,1122,16.0,81
58.8235294117647,4.331519999999999,7.0,912,17.0,82
58.8235294117647,13.201407999999999,7.0,1031,17.0,82
58.8235294117647,12.039168,8.0,1074,17.0,83
62.5,12.386303999999999,7.0,1024,16.0,85
58.8235294117647,10.82368,7.0,1097,17.0,86
62.5,11.006976,9.0,1034,16.0,87
62.5,12.921856,7.0,979,16.0,88
58.8235294117647,11.954175999999999,9.0,1074,17.0,88
55.55555555555556,12.768256,7.0,953,18.0,90
62.5,12.935167999999999,8.0,1061,16.0,92
58.8235294117647,11.659264,8.0,1203,17.0,92
62.5,1.34656,9.0,956,16.0,92
58.8235294117647,11.662336,9.0,1202,17.0,93
62.5,11.142144,9.0,1251,16.0,95
58.8235294117647,11.752448,9.0,1214,17.0,95
58.8235294117647,2.44224,8.0,1041,17.0,98
58.8235294117647,3.4672639999999997,10.0,1254,17.0,98
58.8235294117647,12.730367999999999,9.0,1389,17.0,99
62.5,12.490751999999999,8.0,993,16.0,101
62.5,2.011136,8.0,1195,16.0,101
58.8235294117647,2.5907199999999997,10.0,1365,17.0,102
55.55555555555556,11.147264,8.0,1112,18.0,103
66.66666666666667,2.312192,10.0,1090,15.0,104
55.55555555555556,3.690496,8.0,1237,18.0,105
58.8235294117647,12.162047999999999,9.0,1103,17.0,106
58.8235294117647,11.61216,10.0,1450,17.0,107
62.5,4.143104,9.0,1324,16.0,107
55.55555555555556,2.393088,8.0,1335,18.0,109
62.5,11.686912,10.0,1159,16.0,110
58.8235294117647,2.747392,9.0,1300,17.0,111
58.8235294117647,2.6982399999999997,8.0,1165,17.0,111
58.8235294117647,3.7079039999999996,9.0,1327,17.0,113
62.5,3.1631359999999997,10.0,1374,16.0,113
58.8235294117647,3.270656,9.0,1321,17.0,114
62.5,3.602432,13.0,1359,16.0,114
62.5,4.109312,10.0,1530,16.0,114
52.63157894736842,5.0350079999999995,7.0,1239,19.0,118
58.8235294117647,3.78368,10.0,1374,17.0,119
62.5,10.432512,10.0,1345,16.0,119
58.8235294117647,14.82752,10.0,1586,17.0,119
58.8235294117647,3.863552,9.0,1464,17.0,119
62.5,9.503744,11.0,1577,16.0,121
62.5,3.2337919999999998,11.0,1647,16.0,121
58.8235294117647,3.58912,9.0,1339,17.0,121
62.5,3.154944,9.0,1487,16.0,123
62.5,4.163584,11.0,1513,16.0,125
58.8235294117647,11.50976,9.0,1527,17.0,126
58.8235294117647,9.537536,12.0,1739,17.0,126
58.8235294117647,10.228736,11.0,1620,17.0,126
62.5,6.1255679999999995,9.0,1389,16.0,126
62.5,2.987008,8.0,1446,16.0,127
58.8235294117647,11.363328,10.0,1490,17.0,127
58.8235294117647,4.096,11.0,1677,17.0,129
58.8235294117647,4.453376,11.0,1630,17.0,129
62.5,10.973184,12.0,1814,16.0,130
58.8235294117647,2.961408,11.0,1644,17.0,130
66.66666666666667,5.1712,9.0,1526,15.0,131
